cluster,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean ,"Middle East, North Africa, Afghanistan & Pakistan",North America,South Asia,Sub-Saharan Africa 
0,0.20588235294117646,0.029411764705882353,0.08823529411764706,0.08823529411764706,0.0,0.08823529411764706,0.5
1,0.14634146341463414,0.21951219512195122,0.3902439024390244,0.14634146341463414,0.0,0.07317073170731707,0.024390243902439025
2,0.13432835820895522,0.5970149253731343,0.1044776119402985,0.08955223880597014,0.029850746268656716,0.0,0.04477611940298507
