cluster,High income,Low income,Lower middle income,Not classified,Upper middle income
0,0.0,0.20588235294117646,0.6764705882352942,0.029411764705882353,0.08823529411764706
1,0.07317073170731707,0.0,0.2682926829268293,0.0,0.6585365853658537
2,0.835820895522388,0.0,0.0,0.0,0.16417910447761194
