country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,DII_equal_zmean,DII_equal_0100,DII_pca_pc1,DII_pca_0100,DII_primary
CEB,,,,,,122.2630000669752,27.56066266295152,10.401417353884629,99.45035705566409,101.0507690429688,0.7590090080106828,78.55216884527535,1.3858617960847694,76.59193324403812,76.59193324403812
CHE,Switzerland,Europe & Central Asia,High income,Not classified,94.26364,125.6322,46.72338,11.653674146721563,,103.8936599731446,1.1740301412628227,90.03247511684651,2.670835106125595,93.1580268480207,93.1580268480207
CHL,Chile,Latin America & Caribbean ,High income,IBRD,88.22948,132.9726,19.8613,9.32213264140207,,104.8024719238284,0.6287238091863394,74.94822228613157,1.3709132640358406,76.39921423639055,76.39921423639055
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Blend,36.843219999999995,141.1824,0.9390658,3.829319105065219,,54.301991066230165,-0.8305454253088003,34.58194596326422,-2.026275241170382,32.60208450002901,32.60208450002901
COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,68.95068,140.178,15.27376,6.453792548728915,95.39208623832894,101.6847824096678,0.3104669587987561,66.14460766813734,0.5069071744076067,65.26030135520585,65.26030135520585
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,Blend,66.77188,113.6122,4.858456,6.305669371040474,,96.38685030851109,-0.19250508975833483,52.231404939815306,-0.453417270111198,52.87963592520898,52.87963592520898
CRI,Costa Rica,Latin America & Caribbean ,High income,IBRD,80.11189999999999,155.3224,19.467,7.312288134056476,,132.4606674194336,0.7832782701127222,79.2235046872195,1.627534101907788,79.70761355309234,79.70761355309234
CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified,67.53246,58.7977,2.0298842,4.3211407813718035,,101.03594473419004,-0.7237560961809871,37.535950245687324,-1.4627691978237574,39.86689987599465,39.86689987599465
CYP,Cyprus,Europe & Central Asia,High income,Not classified,88.33192,142.53199999999998,37.043099999999995,10.315772841231594,,101.8073150634764,0.9889324576052904,84.91230670061344,2.1723996918707726,86.73211304610456,86.73211304610456
CZE,Czechia,Europe & Central Asia,High income,Not classified,82.02094,124.41100000000002,35.52856,11.09034580256304,,101.21704559326164,0.8428542531543985,80.87149433629806,1.9051447071250156,83.28661650634493,83.28661650634493
DEU,Germany,Europe & Central Asia,High income,Not classified,89.60898,127.3892,43.0137,11.455467685203429,,101.0636993408204,1.0579071082946694,86.82028210582644,2.3943892857530233,89.59404049831491,89.59404049831491
DMA,Dominica,Latin America & Caribbean ,Upper middle income,Blend,78.76165,103.1795,21.63326,10.500480291172035,,105.432586335409,0.46148591066765016,70.32209088852376,1.1013963130118865,72.92455604416634,72.92455604416634
DNK,Denmark,Europe & Central Asia,High income,Not classified,97.72814,125.1162,44.33138,11.952811075096436,,130.2509796142576,1.4014807380256287,96.32420896670388,3.1872991858706676,99.816369259724,99.816369259724
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD,80.5821,84.918,9.377014,4.922640334424626,93.650302629855,78.86987569405241,-0.27295279670121825,50.006062082422055,-0.8419498317120943,47.870608318658086,47.870608318658086
EAP,,,,,70.9,124.288576019194,25.66523941826412,7.079472891836778,96.281884765625,88.32565307617188,0.31278098541477833,66.20861822601985,0.5672326896215847,66.03802811725936,66.03802811725936
EAR,,,,,,96.29318525959204,4.928450786402761,6.906768659262663,80.34572143554684,75.49279937744141,-0.4868945324615942,44.088010074915026,-0.9742336013100519,46.1651835504364,46.1651835504364
EAS,,,,,72.94,126.23999999999998,26.55,8.151520161841397,96.055012512207,89.60653686523438,0.42258843015055314,69.24610956191152,0.868087607882214,69.9167006921518,69.9167006921518
ECA,,,,,74.34,109.0091840468306,17.573947768170477,8.474982509211799,98.81217651367189,99.47240600585944,0.34667704935704297,67.14625046756055,0.6596031584216995,67.22888384977091,67.22888384977091
ECS,,,,,83.2,124.7,29.704,10.344462603927402,98.63281860351564,103.8434204101564,0.7870773980797177,79.32859608891327,1.8250929613658375,82.25457583822659,82.25457583822659
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,65.24658000000001,93.05474,13.23632,6.103316103934682,94.79000091552736,94.30407635466082,-0.09325439283135523,54.97687572936272,-0.40926404415301887,53.44886679438381,53.44886679438381
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,64.07509999999999,87.87694,8.459641999999999,3.6795410822361023,,79.10721013448361,-0.6846448451534684,38.61784488787517,-1.4774321464229412,39.67786265856268,39.67786265856268
ESP,Spain,Europe & Central Asia,High income,Not classified,91.6829,118.1634,33.96346,9.929468534425212,98.90999857584632,118.690623474121,0.9340433872995889,83.39396633771818,2.250542473645118,87.73954302712748,87.73954302712748
EST,Estonia,Europe & Central Asia,High income,Not classified,90.22882,147.6866,35.71448,11.331320035175706,,112.627471923828,1.1870402043913875,90.3923592224052,2.604128343505584,92.29803196334358,92.29803196334358
ETH,Ethiopia,Sub-Saharan Africa ,Not classified,IDA,16.166925,45.853475,0.2916535,1.7765258714642462,56.79870810981794,,-1.960327066453481,3.3299488451816024,-3.6823859809134194,11.251224276891508,11.251224276891508
FCS,,,,,29.660000000000004,74.86,2.052,6.005175247556673,67.24890747070313,46.41756820678712,-1.232644227366172,23.45909695825707,-2.8954228662392163,21.396886072902138,21.396886072902138
FIN,Finland,Europe & Central Asia,High income,Not classified,91.29292,128.9874,33.0709,11.313484165637588,,140.0508137512205,1.248153069692211,92.08286207773929,2.808301244353767,94.93026359058273,94.93026359058273
FJI,Fiji,East Asia & Pacific,Upper middle income,Blend,68.5638,110.3036,2.399428,5.433730819178027,,92.95205219357322,-0.3296196581892583,48.43854449546542,-0.7555469862492217,48.98452844011408,48.98452844011408
FRA,France,Europe & Central Asia,High income,Not classified,84.30362,111.4748,46.41126,10.449902233054862,,104.2512145996094,0.8992912625350904,82.43265375886715,2.0915537268468083,85.68983316867369,85.68983316867369
GBR,United Kingdom,Europe & Central Asia,High income,Not classified,94.10444,118.692,40.56598,10.537984868945951,,115.7169174194336,1.0483336857833605,86.55546228415677,2.40182454218981,89.68989708392563,89.68989708392563
GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,71.85004,144.1118,25.55276,8.139089871464666,99.80560131498994,108.2993475690142,0.6777700726243147,76.30493904253353,1.415365622097961,76.9723015673262,76.9723015673262
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,53.110299999999995,127.2816,0.322027,3.8155677825148104,,73.4891037843599,-0.6481455419813311,39.627487880827275,-1.554059336228644,38.689971945960195,38.689971945960195
GRC,Greece,Europe & Central Asia,High income,Not classified,77.53808,109.7228,39.981759999999994,9.106045570210425,,105.00602874755842,0.6446695114927301,75.3893119838011,1.507159575181409,78.15572476154932,78.15572476154932
GRD,Grenada,Latin America & Caribbean ,Upper middle income,Blend,67.58096,97.44064,26.81658,6.292234376056702,,105.22241891985932,0.07905128338349396,59.743191892050426,0.24441234044081464,61.87617348571914,61.87617348571914
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD,47.9327,120.379,3.8620275,4.6593651498036825,,50.49638576933122,-0.8113003835538979,35.11430192264431,-1.8944513509935168,34.30158042484451,34.30158042484451
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified,92.67294,200.209416,38.29974,11.233027072037313,,104.0057745813288,1.5343631650401677,100.0,3.201542773151918,100.0,100.0
HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA,45.8036,74.37056,3.99754,4.623264724823004,87.99880531473492,57.7861385092891,-0.8652906196292317,33.620825094218084,-2.320661529946671,28.80680659231737,28.80680659231737
HPC,,,,,,72.47242541091698,0.6088222449321321,3.150882477013902,65.09931640625,41.66886978149414,-1.4925870802989227,16.26856296932658,-2.8597987968080276,21.856157611182645,21.856157611182645
HRV,Croatia,Europe & Central Asia,High income,IBRD,79.20418,111.408,27.48698,10.101429678568865,,105.4271240234374,0.5743963168004231,73.44541628040014,1.332195827799958,75.90006248920797,75.90006248920797
HUN,Hungary,Europe & Central Asia,High income,Not classified,83.80018,104.9584,33.80362,10.448279940678397,,102.18158111572282,0.6558797052408066,75.69940813862362,1.5507502481704256,78.71770310254203,78.71770310254203
IBD,,,,,63.34,110.54,16.064,7.654444426366833,89.65951995849608,86.70488281250002,0.014898837775506163,57.96860822716856,-0.06649691689551845,57.86787866812892,57.86787866812892
IBT,,,,,53.620000000000005,102.96,12.196000000000002,7.361883701755445,84.92666473388674,73.2045120239258,-0.3074932810496699,49.050603896518716,-0.8260510536358154,48.07557805907411,48.07557805907411
IDA,,,,,27.160000000000004,82.14,1.652,4.794905446421265,68.59743804931641,47.96279983520506,-1.2623881751965946,22.6363204693995,-3.036247721025422,19.581348187464336,19.581348187464336
IDB,,,,,29.72,87.5,1.67,5.43493793701931,67.91269378662108,46.51267318725586,-1.1905341452747271,24.623945205242816,-2.8432149213871543,22.069959742629443,22.069959742629443
IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD,53.98216,125.61,4.06009,7.550006110192276,,96.07085292305828,-0.13291718882236533,53.87972426144698,-0.3674212968131399,53.988310581786834,53.988310581786834
IDX,,,,,25.76,79.22,1.636,4.13570816459423,69.45198669433596,48.9434944152832,-1.3143399209364148,21.199232319785725,-3.1870885124304014,17.636683150309356,17.636683150309356
IND,India,South Asia,Lower middle income,IBRD,37.22755,82.4976,1.7276520000000002,6.132411895340297,75.30826377419896,78.46845814844772,-0.8194840724320288,34.88792488488725,-1.9653862043648438,33.38707627790869,33.38707627790869
IRL,Ireland,Europe & Central Asia,High income,Not classified,91.80884,105.8306,30.465960000000003,11.565575863243817,,139.3253753662108,1.0669488933565265,87.07039578302268,2.4813749647022494,90.71547460781643,90.71547460781643
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,75.17562000000001,140.094,11.295573999999998,7.896849572087056,87.83994499540026,,0.2527655797636455,64.54847327752394,0.39694593585422344,63.84266243893347,63.84266243893347
ISL,Iceland,Europe & Central Asia,High income,Not classified,99.50878,116.7202,38.44422,11.226481724584987,,112.9833526611328,1.0797856479280523,87.42548583074941,2.483040870338132,90.73695174549998,90.73695174549998
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,88.55922000000001,138.243,29.14268,9.378490920393745,,96.52106170654297,0.7357980938903554,77.91010900399347,1.6043811500275098,79.40912177504521,79.40912177504521
ITA,Italy,Europe & Central Asia,High income,Not classified,74.52886000000001,132.47820000000002,30.050940000000004,9.915448556844524,,101.658610534668,0.6747441208669026,76.22123522565589,1.4815878905099498,77.82605027059397,77.82605027059397
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,IBRD,76.0491,104.3786,12.90232,5.1274903761271355,,83.94501332983955,-0.2583101165097341,50.41110760845983,-0.5574649317016667,51.538235844978175,51.538235844978175
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,78.0405,70.83088000000001,5.488414000000001,4.839768795761878,,90.1115103440606,-0.5529766225516849,42.260048623036624,-1.1089782461575755,44.428032761593514,44.428032761593514
JPN,Japan,East Asia & Pacific,High income,Not classified,87.90675999999999,154.298,34.77202,9.978683232387278,,102.4866729736326,1.0158503716255851,85.65690949884508,2.1865148530547978,86.91408809537809,86.91408809537809
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,85.989,129.1678,13.59024,8.0756329482997,,94.59112816673496,0.31803302583386867,66.3539000628491,0.6704101352282187,67.36820922560084,67.36820922560084
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,IDA,71.72336,119.0794,4.493902,6.002089120358663,,91.87123283331182,-0.17807106214721335,52.63067872235621,-0.43909056614407443,53.06433821988029,53.06433821988029
KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA,55.894125,121.194,1.6964739999999998,5.054475670798671,80.72972385434217,52.233772702483975,-0.6459921796476319,39.68705414655166,-1.7408376276875148,36.28199456983766,36.28199456983766
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,IBRD,71.64070000000001,132.5598,42.79566,8.854213806784568,,118.1739516440898,0.8827732932245699,81.97573402279679,1.9609227328955219,84.00571626409025,84.00571626409025
