country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,SE.TER.ENRR,DII_equal_zmean,DII_equal_0100,DII_pillar_mean,DII_pillar_0100,pillar_access_use_pc1,pillar_quality_infra_pc1,pillar_skills_pc1,DII_primary,cluster
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,73.6251,93.4068,17.135060000000003,6.866866268682325,,97.75089867677256,60.33838070445042,-0.1955998102145822,56.635850196766825,-0.2780217972072086,56.56304913684867,-0.6928181078199998,-0.4592086674415016,0.3179613836398757,56.56304913684867,1
AND,Andorra,Europe & Central Asia,High income,Not classified,93.076825,118.1718,49.02584,9.399279195650257,,97.25101928710936,19.2924506608285,0.3879365931807927,73.14458271656721,0.5523268130188073,73.23534910978647,0.5866935998948337,1.788587779829116,-0.7183009406675276,73.23534910978647,1
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,99.52,200.0538,34.50676,7.517238191340681,98.06666564941406,101.73739547124714,55.787669908371086,0.8604405338302891,86.51211407424498,1.2914067796089428,88.07509563941042,2.870012097179784,0.5671359007570086,0.4370723408900353,88.07509563941042,1
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,83.7375,127.909,21.508159999999997,8.242311893011234,,112.47840423584,99.9941338533076,0.5707449194714235,78.31638304224393,0.7991941322142314,78.19211780723849,0.5181967325003133,0.1283696297008439,1.7510160344415369,78.19211780723849,1
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,73.38734,124.8462,14.81938,6.389940576434153,,88.31101374216946,55.43829268741814,-0.1650836327556209,57.49917835978362,-0.233183747259756,57.46333777431868,0.0926439198873946,-0.7020427049951043,-0.0901524566715584,57.46333777431868,1
AUS,Australia,East Asia & Pacific,High income,Not classified,94.4636,107.8608,35.13362,10.617950944179269,,137.2913360595704,108.4299850463868,1.075284472082616,92.59022863482886,1.508846918661359,92.44100554736151,0.3731275754079728,1.4402188770585729,2.7131943035175308,92.44100554736151,1
AUT,Austria,Europe & Central Asia,High income,Not classified,89.7808,121.5324,28.91536,10.349010937425888,,101.53849029541,89.8704559326172,0.6617326641331908,80.89050237817725,0.9303655951296044,80.82586699484645,0.5606056526981109,1.0630173059479004,1.167473826742801,80.82586699484645,1
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,83.9,104.8224,19.62038,5.973269557659088,,98.01638566265436,35.65830459036488,-0.2197186426547927,55.95350827066159,-0.3091270530267855,55.938496811027605,-0.0589911031424679,-0.5804306910143775,-0.2879593649235112,55.938496811027605,1
BEL,Belgium,Europe & Central Asia,High income,Not classified,91.44912,100.67642,41.3928,10.061083222006948,,142.88661834716785,80.83793640136722,0.9213878150141364,88.23636359324453,1.293956782128812,88.12629631153706,0.090380509096996,1.5950606109807994,2.1964292263086405,88.12629631153706,1
BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA,23.96774,88.72677999999999,0.1909576,2.6137332688229624,48.07000096638996,43.940106709798165,10.481674003601066,-1.8967294617457744,8.509470702321225,-2.6346414454362805,9.2452488617333,-2.481765174114203,-2.443462870432548,-2.9786962917620916,9.2452488617333,0
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,11.150282,105.28118,0.06619642,2.289099347850723,40.35539992014566,38.14564382367104,7.968436703771312,-2.041065462043014,4.426084630740534,-2.7775532349205676,6.375769471260395,-2.495240364557213,-2.5377637364078436,-3.2996556037966456,6.375769471260395,0
BGD,Bangladesh,South Asia,Lower middle income,IDA,34.5286,105.04198,5.937048,5.210109884341822,75.77200164794924,66.1379351160208,22.47480073431162,-1.07860169110072,31.654989052182685,-1.62728206320911,29.47169061668872,-1.7146611668770322,-1.4570207574027467,-1.7101642653475513,29.47169061668872,0
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,71.45796,116.44,30.8454,10.804663959152096,,100.68732757568348,84.56988220214843,0.4998621572558692,76.31105046166738,0.7021951141991107,76.24450603850403,-0.1844285929539836,1.2812102468701294,1.0098036886811863,76.24450603850403,1
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,99.5459874,131.201,12.52307,7.637956495573586,,102.07446410133234,51.076826657690624,0.2071417965115047,68.029746826607,0.2921852070918826,68.01205032173297,1.1331917546935877,-0.4752851408820759,0.2186490074641361,68.01205032173297,1
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,73.55998,110.9346,23.740879999999997,8.09587085813909,,85.89075622558593,46.18715209960938,-0.1069186857981882,59.14471331829078,-0.1495120176986204,59.143355248085605,-0.2526457109508321,0.1977854690206619,-0.393675811165691,59.143355248085605,1
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,84.68054,125.27939999999998,34.347159999999995,8.89109847683822,,100.41826159902834,80.32051659662336,0.547907839242641,77.67030295737433,0.7706951659035036,77.61989632170872,0.4835620559904214,0.9325898758413804,0.8959335658787089,77.61989632170872,1
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Blend,63.851600000000005,66.47085999999999,8.445656,12.02289414628581,,87.23687939410885,24.66548343942304,-0.491597557517414,48.26182655701964,-0.6910380237795158,48.27023050826081,-1.70147396839909,0.5166197881462105,-0.8882598910856677,48.27023050826081,0
BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,77.38142,100.73846,17.84476,8.085766969649848,94.21196967758311,105.1538864135744,55.12196044921876,0.0509915918364538,63.612127039918406,0.002673101459607,62.199030812271374,-0.3813931398760516,-0.0933378786030223,0.4827503228578951,62.199030812271374,1
BRB,Barbados,Latin America & Caribbean ,High income,IBRD,75.97918,113.1914,37.81616,6.868105639275967,,105.2827743530274,51.502883376124124,0.1811137474576974,67.29339156694992,0.2549568141132789,67.26455351424057,-0.1142895685064998,0.552637228355527,0.3265227824908095,67.26455351424057,1
BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,96.58094,125.75039999999998,15.36212,9.441989976125816,,88.72111728387922,28.702930160415917,0.0698130917209709,64.1446030009844,0.1022504628795799,64.1984123005544,0.8958647913228186,0.1537047754293097,-0.7428181781133885,64.1984123005544,1
BTN,Bhutan,South Asia,Lower middle income,IDA,77.29148,96.03614,0.7959006000000001,6.456381879595096,,90.0939476946356,15.410759711091838,-0.6882106345770008,42.69947829530818,-0.9682797236657436,42.70358448924449,-0.503095691076012,-1.3698775206959006,-1.0318659592253177,42.70358448924449,0
CAN,Canada,North America,High income,Not classified,93.358,88.6855,40.6955,10.565520712994742,,109.6517059326172,75.27334747314453,0.6161525404878414,79.60100258844318,0.8667726506032444,79.54900492240043,-0.1480156413204001,1.6980048940421826,1.0503286990879508,79.54900492240043,1
CHE,Switzerland,Europe & Central Asia,High income,Not classified,94.26364,125.6322,46.72338,11.653674146721563,,103.8936599731446,68.95539703369143,0.9030792265150446,87.71839832391785,1.273983309332321,87.72525544043384,0.8149109108021835,2.2884646523615,0.7185743648332794,87.72525544043384,1
CHL,Chile,Latin America & Caribbean ,High income,IBRD,88.22948,132.9726,19.8613,9.32213264140207,,104.8024719238284,93.5872024536133,0.5930539939984334,78.94752540455028,0.8324091789771052,78.85903193996047,0.7971337398125572,0.3411952437252892,1.358898553393469,78.85903193996047,1
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Blend,36.843219999999995,141.1824,0.9390658,3.829319105065219,,54.301991066230165,10.61954582271235,-1.194204151158477,28.38449884691037,-1.6791816305524063,28.429616065642502,-0.7246750655345084,-2.0766141485601746,-2.236255677562537,28.429616065642502,0
COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,68.95068,140.178,15.27376,6.453792548728915,95.39208623832894,101.6847824096678,57.465202331542955,0.0815516974889229,64.4766979682408,0.0387842485800243,62.924094803159015,0.3303037639862017,-0.662471303427658,0.4485202851815292,62.924094803159015,1
CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified,67.53246,58.7977,2.0298842,4.3211407813718035,,101.03594473419004,46.43852573303745,-0.8459209043297724,38.23772296380745,-1.19638136428105,38.123605755225185,-1.771277006092591,-1.8896408436708376,0.0717737569202791,38.123605755225185,0
CYP,Cyprus,Europe & Central Asia,High income,Not classified,88.33192,142.53199999999998,37.043099999999995,10.315772841231594,,101.8073150634764,91.52050781250004,0.8784914088860866,87.02278841488692,1.2366751536251817,86.97615710302927,1.041839004671472,1.4515133641168494,1.216673092087223,86.97615710302927,1
CZE,Czechia,Europe & Central Asia,High income,Not classified,82.02094,124.41100000000002,35.52856,11.09034580256304,,101.21704559326164,68.30126647949223,0.6103545878251996,79.4369736622047,0.8603945822451537,79.42094176000766,0.3721573077070863,1.587878870729628,0.621147568298747,79.42094176000766,1
DEU,Germany,Europe & Central Asia,High income,Not classified,89.60898,127.3892,43.0137,11.455467685203429,,101.0636993408204,73.45783386230471,0.8274968167704414,85.58010878719776,1.1668636279174136,85.57443415939532,0.7026372613764548,2.0531746984478434,0.7447789239279422,85.57443415939532,1
DNK,Denmark,Europe & Central Asia,High income,Not classified,97.72814,125.1162,44.33138,12.02289414628581,,130.2509796142576,82.81367340087891,1.1965090946571475,96.01977451620336,1.68423869734476,95.96264008854638,0.9184590882239926,2.271784604061452,1.862472399748835,95.96264008854638,1
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD,80.5821,84.918,9.377014,4.922640334424626,93.650302629855,78.86987569405241,56.78734164083426,-0.4249155685974077,50.14831575043301,-0.7728708735272539,46.627135304833814,-0.6729730250387587,-1.3668743309253728,-0.2787652646176305,46.627135304833814,0
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,65.24658000000001,93.05474,13.23632,6.103316103934682,94.79000091552736,94.30407635466082,52.8450945299456,-0.2983202721516019,53.72980248395667,-0.5792042692209866,50.51570413239585,-0.9836174835518084,-0.8573420514982207,0.1033467273870691,50.51570413239585,1
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,64.07509999999999,87.87694,8.459641999999999,3.6795410822361023,,79.10721013448361,36.020117541412695,-0.8878015431902321,37.05288469033777,-1.251821633301219,37.01043860554688,-1.1537109601931737,-1.7494767547585584,-0.852277184951926,37.01043860554688,0
ESP,Spain,Europe & Central Asia,High income,Not classified,91.6829,118.1634,33.96346,9.929468534425212,98.90999857584632,118.690623474121,92.65069732666016,0.8177713674526765,85.30496769833398,1.2042318963309635,86.3247394803019,0.5395798607495612,1.1959348222162884,1.8771810060270409,86.3247394803019,1
EST,Estonia,Europe & Central Asia,High income,Not classified,90.22882,147.6866,35.71448,11.331320035175706,,112.627471923828,72.27835083007812,0.9376129115536672,88.69538513383823,1.321414279071096,88.67760647198062,1.2357553511340271,1.6624417543878245,1.066045731691437,88.67760647198062,1
FIN,Finland,Europe & Central Asia,High income,Not classified,91.29292,128.9874,33.0709,11.313484165637588,,142.88661834716785,97.85180969238289,1.174065877747036,95.38483715377484,1.64920576566526,95.25922523519571,0.7996322976702773,1.528298920574867,2.619686078750636,95.25922523519571,1
FJI,Fiji,East Asia & Pacific,Upper middle income,Blend,68.5638,110.3036,2.399428,5.433730819178027,,92.95205219357322,77.18929794844942,-0.3312862585280867,52.79716717933107,-0.4714345071942905,52.6795781708339,-0.4366784890225792,-1.5692902637723976,0.5916652312121055,52.6795781708339,1
FRA,France,Europe & Central Asia,High income,Not classified,84.30362,111.4748,46.41126,10.449902233054862,,104.2512145996094,69.11962127685545,0.6627490485535442,80.91925674283259,0.934044044149451,80.89972537762542,0.122481690052115,1.9461497303521629,0.733500712044075,80.89972537762542,1
GBR,United Kingdom,Europe & Central Asia,High income,Not classified,94.10444,118.692,40.56598,10.537984868945951,,115.7169174194336,70.48438644409177,0.8126507725389162,85.1601017888866,1.144558482628614,85.12657639385561,0.6343987328622822,1.6841889613313303,1.1150877536922292,85.12657639385561,1
GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,71.85004,144.1118,25.55276,8.139089871464666,99.80560131498994,108.2993475690142,72.95126168165783,0.4776027231036476,75.68131246704883,0.6356494810135692,74.90835788976872,0.5271397978474617,0.2981462638986007,1.081662381294645,74.90835788976872,1
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,53.110299999999995,127.2816,0.322027,3.8155677825148104,,73.4891037843599,18.3050779726281,-0.971475765161038,34.68567102332255,-1.3673345957761145,34.691091360996246,-0.5281584991520678,-2.1105294696702694,-1.463315818506006,34.691091360996246,0
