type,score,indicator,corr
score_vs_indicator,DII_equal_0100,IT.NET.USER.ZS,0.896570769925848
score_vs_indicator,DII_equal_0100,IT.CEL.SETS.P2,0.536579636378103
score_vs_indicator,DII_equal_0100,IT.NET.BBND.P2,0.8668997437012189
score_vs_indicator,DII_equal_0100,IT.NET.SECR.P6,0.8797931061598897
score_vs_indicator,DII_equal_0100,SE.ADT.LITR.ZS,0.8575484765848004
score_vs_indicator,DII_equal_0100,SE.SEC.ENRR,0.878027920997389
score_vs_indicator,DII_equal_0100,SE.TER.ENRR,0.8258788369598601
score_vs_indicator,DII_pillar_0100,IT.NET.USER.ZS,0.8965577689297655
score_vs_indicator,DII_pillar_0100,IT.CEL.SETS.P2,0.5401847713805557
score_vs_indicator,DII_pillar_0100,IT.NET.BBND.P2,0.870415045986464
score_vs_indicator,DII_pillar_0100,IT.NET.SECR.P6,0.8820269020801029
score_vs_indicator,DII_pillar_0100,SE.ADT.LITR.ZS,0.8188556351783399
score_vs_indicator,DII_pillar_0100,SE.SEC.ENRR,0.8751064053691456
score_vs_indicator,DII_pillar_0100,SE.TER.ENRR,0.8261480327937013
score_vs_score,DII_equal_0100,DII_pillar_0100,0.9988710746781283
