country_name,delta,abs_delta
Greece,0.0011013153101598894,0.0011013153101598894
Greece,0.0011013153101598894,0.0011013153101598894
Greece,0.0011013153101598894,0.0011013153101598894
Greece,0.0011013153101598894,0.0011013153101598894
India,0.0009729499824339127,0.0009729499824339127
India,0.0009729499824339127,0.0009729499824339127
India,0.0009729499824339127,0.0009729499824339127
India,0.0009729499824339127,0.0009729499824339127
Trinidad and Tobago,0.0007273147342986563,0.0007273147342986563
Trinidad and Tobago,0.0007273147342986563,0.0007273147342986563
Trinidad and Tobago,0.0007273147342986563,0.0007273147342986563
Trinidad and Tobago,0.0007273147342986563,0.0007273147342986563
Malaysia,0.0007240714613907517,0.0007240714613907517
Malaysia,0.0007240714613907517,0.0007240714613907517
Malaysia,0.0007240714613907517,0.0007240714613907517
Malaysia,0.0007240714613907517,0.0007240714613907517
Georgia,0.0006303579442078489,0.0006303579442078489
Georgia,0.0006303579442078489,0.0006303579442078489
Georgia,0.0006303579442078489,0.0006303579442078489
Georgia,0.0006303579442078489,0.0006303579442078489
