country_name,delta,abs_delta
Libya,0.0009116503132846621,0.0009116503132846621
Libya,0.0009116503132846621,0.0009116503132846621
Libya,0.0009116503132846621,0.0009116503132846621
Libya,0.0009116503132846621,0.0009116503132846621
Uzbekistan,0.0005330472447835355,0.0005330472447835355
Uzbekistan,0.0005330472447835355,0.0005330472447835355
Uzbekistan,0.0005330472447835355,0.0005330472447835355
Uzbekistan,0.0005330472447835355,0.0005330472447835355
Costa Rica,0.00042054627142218415,0.00042054627142218415
Costa Rica,0.00042054627142218415,0.00042054627142218415
Costa Rica,0.00042054627142218415,0.00042054627142218415
Costa Rica,0.00042054627142218415,0.00042054627142218415
Argentina,0.0003550501936989692,0.0003550501936989692
Argentina,0.0003550501936989692,0.0003550501936989692
Argentina,0.0003550501936989692,0.0003550501936989692
Argentina,0.0003550501936989692,0.0003550501936989692
Samoa,0.0003519424320038711,0.0003519424320038711
Samoa,0.0003519424320038711,0.0003519424320038711
Samoa,0.0003519424320038711,0.0003519424320038711
Samoa,0.0003519424320038711,0.0003519424320038711
