cluster,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean ,"Middle East, North Africa, Afghanistan & Pakistan",North America,South Asia,Sub-Saharan Africa 
0,11,46,9,7,2,1,3
1,8,2,10,6,0,5,14
