country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,SE.TER.ENRR,DII_equal_zmean,DII_equal_0100,DII_pca_pc1,DII_pca_0100,DII_primary,cluster
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,62.57008,108.73612,11.134364,6.060823954218983,,99.40467911087542,59.191184393884974,-0.0854404044915047,59.38014191973422,-0.2037224915461808,58.41969152435135,58.41969152435135,0
AND,Andorra,Europe & Central Asia,High income,Not classified,89.97155000000001,107.61858,45.80188,8.838562396494584,,94.7224868774414,15.16735273016804,0.3920608487474064,73.1202572625646,1.1335336145125583,74.09704617448438,74.09704617448438,0
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,74.1908,136.7346,17.704680000000003,7.294209832357663,,109.522477722168,89.20745732982216,0.5488286582654348,77.63125649075478,1.271159936356011,75.71051172304878,75.71051172304878,0
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,64.59613999999999,120.71200000000002,11.218078,5.594677970215702,,85.43104768606814,53.92683232793267,-0.1655500630078274,57.07498368062423,-0.4557131631983956,55.465472725036726,55.465472725036726,0
AUS,Australia,East Asia & Pacific,High income,Not classified,88.25108,108.8646,31.788940000000004,9.95830732831049,,149.6886779785158,111.15719329833983,1.245149337695285,97.66790851222534,3.1832910491945094,98.12742756864068,98.12742756864068,0
AUT,Austria,Europe & Central Asia,High income,Not classified,86.28614,130.21120000000002,28.54106,9.358276397164936,,100.842739868164,84.22771606445312,0.765817990842443,83.87513216133891,1.8960343704852811,83.03624242733278,83.03624242733278,0
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,79.02000000000001,104.767,18.78284,5.391634252987317,99.79250144958492,95.40216206464362,28.616357452094917,-0.019703431213686,61.27172563600537,-0.2561540810467634,57.80500850309115,57.80500850309115,0
BDI,Burundi,Sub-Saharan Africa ,Low income,IDA,4.2349695999999994,50.18684,0.0305796799999999,1.6406174332636116,,45.55934238536052,4.523938457531488,-1.9118161496993604,6.826115666848215,-4.614038110916754,6.7152485454560775,6.7152485454560775,1
BEL,Belgium,Europe & Central Asia,High income,Not classified,87.63435999999999,104.84008,38.41482,9.14889161033903,,150.47875906372087,78.57389984130862,1.0603222361652962,92.3495021703001,2.76232973867509,93.19227735388606,93.19227735388606,0
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,7.850362,87.71741999999999,0.0601849199999999,1.150208702909279,,36.93888125981768,5.873351683019996,-1.769803962651566,10.912521339898896,-4.426699797427333,8.911513843348418,8.911513843348418,1
BGD,Bangladesh,South Asia,Lower middle income,IDA,21.7,91.877,4.2996360000000005,4.120179800011966,71.8760009765625,63.26381804903168,18.75411745837924,-1.1918861986646598,27.54212530845165,-2.9508862000731892,26.213250629879315,26.213250629879315,1
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,62.52418,122.1234,25.53834,10.093460214577618,,103.4110290527344,81.60993957519531,0.5731353503459217,78.33068240958363,1.4223925477559467,77.4834909398499,77.4834909398499,0
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,97.14052,164.3668,13.151230000000002,5.916359804330329,,100.9282292795624,48.86053478387496,0.4131267703785911,73.72642989782402,0.8562101093935724,70.84583728273199,70.84583728273199,0
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,63.56298,102.13144,20.19866,7.131486524833439,,84.7470672607422,52.69669799804687,-0.0798007149509223,59.54242418446073,-0.1346769896411093,59.22914815383162,59.22914815383162,0
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,73.93978,121.423,32.81064,7.784075302959469,,102.076068510283,88.15642542188888,0.6178737516305206,79.61803147879466,1.5312939159856362,78.76019879250904,78.76019879250904,0
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Blend,49.48032,63.12293999999999,5.832956,9.474366904066676,,85.81698031733588,24.47396947510076,-0.5676804480894562,45.50366771778663,-1.168700721099843,47.10674566018361,47.10674566018361,1
BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,66.2037,111.00134,14.19818,7.2507738889752735,93.014386119909,103.0932662963866,50.12197570800784,0.0661135550512469,63.7411124316549,0.1340204741287166,62.379229438953686,62.379229438953686,0
BRB,Barbados,Latin America & Caribbean ,High income,IBRD,72.61582000000001,118.1756,32.16486,6.655012249275711,,108.1228164672852,51.03123649024004,0.335534691706036,71.49371510719402,0.8556956691327425,70.83980622975808,70.83980622975808,0
BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,89.21333999999999,123.4322,9.92592,8.019663431418419,,89.8138198852539,28.854406157337134,0.0377217277901905,62.9241366044408,0.1216426728886769,62.23411798352658,62.23411798352658,0
BTN,Bhutan,South Asia,Lower middle income,IDA,55.65588,93.88586,2.150436,5.112313755078384,,87.13176175733992,15.2359696352738,-0.725658424026029,40.95784590837381,-1.7329840563875605,40.49135618438721,40.49135618438721,1
CAN,Canada,North America,High income,Not classified,92.08286,86.69402,37.98622,9.971070972062057,,111.6265762329102,69.84946899414062,0.7152643435386993,82.42044918356113,1.9988454367472417,84.24155047598883,84.24155047598883,0
CHE,Switzerland,Europe & Central Asia,High income,Not classified,90.2492,130.9462,45.72138,10.69661487126614,,104.033544921875,63.02700119018556,0.98358797322072,90.14147105738904,2.49126670591839,90.01446326291735,90.01446326291735,0
