country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,DII_equal_zmean,DII_equal_0100,DII_pca_pc1,DII_pca_0100,DII_primary
AFE,,,,,17.82,65.34,0.52,6.5315756238927385,71.30922088623048,43.17711791992188,-1.0912082879684544,24.787627048188355,-2.570490279369499,22.676669163191452,22.676669163191452
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,13.432,61.40401999999999,0.03350328,3.3658324637977626,,54.86985683441162,-1.3408971006796087,17.74709190426892,-2.9470951046993106,17.844898299256077,17.844898299256077
AFW,,,,,23.5,85.34,0.2,3.991203532325452,57.73030014038088,43.01382217407226,-1.2718705564117598,19.693449874833256,-2.820102301440027,19.474192682779503,19.474192682779503
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,62.57008,108.73612,11.134364,6.060823954218983,,99.40467911087542,0.04476923807933029,56.81905692283886,0.10917995018421525,57.056346929597765,57.056346929597765
AND,Andorra,Europe & Central Asia,High income,Not classified,89.97155000000001,107.61858,45.80188,8.838562396494584,,94.7224868774414,0.9365194334914275,81.96395036930213,2.1603365945972675,83.37231062752207,83.37231062752207
ARB,,,,,,98.95056622177944,6.410027691501772,4.595758069326614,76.74432678222658,66.79702911376953,-0.6000052014069452,38.638197909521594,-1.160748980518792,40.76339157177463,40.76339157177463
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,74.1908,136.7346,17.704680000000003,7.294209832357663,,109.522477722168,0.5797438497185634,71.90386394103656,1.2564826906218438,71.77603074805394,71.77603074805394
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,64.59613999999999,120.71200000000002,11.218078,5.594677970215702,,85.43104768606814,-0.0049094473176487,55.41825515425597,-0.040452210939359225,55.13659373527421,55.13659373527421
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD,71.97586,200.424,10.0456375,6.770642539810386,,118.817626953125,0.8846333349216946,80.50090564377143,1.7652602567945375,78.3035536450437,78.3035536450437
AUS,Australia,East Asia & Pacific,High income,Not classified,88.25108,108.8646,31.788940000000004,9.95830732831049,,149.6886779785158,1.2290758223839837,90.2132328069537,2.8337025700733642,92.01147264097087,92.01147264097087
AUT,Austria,Europe & Central Asia,High income,Not classified,86.28614,130.21120000000002,28.54106,9.358276397164936,,100.842739868164,0.8818187074830768,80.4215409210053,1.9744628621627798,80.98758471764727,80.98758471764727
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,79.02000000000001,104.767,18.78284,5.391634252987317,99.79250144958492,95.40216206464362,0.3222609924095163,64.64355825830562,0.5606301714428631,62.848370501479614,62.848370501479614
BDI,Burundi,Sub-Saharan Africa ,Low income,IDA,4.299162399999999,50.18684,0.0305796799999999,1.6406174332636116,,45.55934238536052,-1.6840873051910923,8.070075662827765,-3.708219430056594,8.079812746055438,8.079812746055438
BEL,Belgium,Europe & Central Asia,High income,Not classified,87.63435999999999,104.84008,38.41482,9.14889161033903,,149.90293725585954,1.2373720170893754,90.447162592393,2.8594737210366064,92.34211178306158,92.34211178306158
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,7.850362,87.71741999999999,0.0601849199999999,1.150208702909279,,36.93888125981768,-1.5216552127158924,12.650212206209744,-3.4477976453651156,11.420976499080597,11.420976499080597
BGD,Bangladesh,South Asia,Lower middle income,IDA,21.7,91.877,4.2996360000000005,4.120179800011966,71.8760009765625,63.26381804903168,-0.8973783797237967,30.253095308946477,-2.1366876812759816,28.24227696530106,28.24227696530106
