country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,DII_equal_zmean,DII_equal_0100,DII_pca_pc1,DII_pca_0100,DII_primary,cluster
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,73.6251,93.4068,17.135060000000003,6.866866268682325,,97.75089867677256,-0.1420955511283179,57.02629292942428,-0.2217203072883884,58.85546891548573,57.02629292942428,0
AND,Andorra,Europe & Central Asia,High income,Not classified,93.076825,118.1718,49.02584,9.399279195650257,,97.25101928710936,0.8022228920018966,83.46110413042986,1.8985775428520764,86.0593863809544,83.46110413042986,0
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,99.52,200.0538,34.50676,7.517238191340681,98.06666564941406,101.73739547124714,1.0488275792181734,90.36444102411204,2.2668660510975243,90.78461410361894,90.36444102411204,0
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,83.7375,127.909,21.508159999999997,8.242311893011234,,112.47840423584,0.4560798612281102,73.7713371523352,1.0075131900920609,74.62682226865344,73.7713371523352,0
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,73.38734,124.8462,14.81938,6.389940576434153,,88.31101374216946,-0.0775229814421009,58.83390740612633,-0.2220901689363121,58.85072350401295,58.83390740612633,0
AUS,Australia,East Asia & Pacific,High income,Not classified,94.4636,107.8608,35.13362,10.617950944179269,,137.2913360595704,0.975587035380682,88.31417931135196,2.3232141194262206,91.50757300302584,88.31417931135196,0
AUT,Austria,Europe & Central Asia,High income,Not classified,89.7808,121.5324,28.91536,10.349010937425888,,101.53849029541,0.6280416887139028,78.5851565545048,1.4682985891035325,80.53880673968929,78.5851565545048,0
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,83.9,104.8224,19.62038,5.973269557659088,,98.01638566265436,-0.0073774583214635,60.79752854873928,0.041133069202879,62.22793923097206,60.79752854873928,0
BDI,Burundi,Sub-Saharan Africa ,Low income,IDA,9.29459908,55.018240000000006,0.0318019,2.1882235341165357,,44.36026922050484,-1.9590825463957584,6.162404244414255,-4.3116397904465575,6.380845101253082,6.162404244414255,1
BEL,Belgium,Europe & Central Asia,High income,Not classified,91.44912,100.67642,41.3928,10.061083222006948,,142.88661834716785,0.9926209217675052,88.79101800271802,2.389774333868783,92.36155612622689,88.79101800271802,0
BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA,23.96774,88.72677999999999,0.1909576,2.6137332688229624,48.07000096638996,43.940106709798165,-1.7359444401977022,12.408828585702034,-3.8148652434441934,12.754578760749371,12.408828585702034,1
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,11.150282,105.28118,0.06619642,2.289099347850723,40.35539992014566,38.14564382367104,-1.879225886272607,8.397874438664493,-4.1188197032227665,8.854771931001546,8.397874438664493,1
BGD,Bangladesh,South Asia,Lower middle income,IDA,34.5286,105.04198,5.937048,5.210109884341822,75.77200164794924,66.1379351160208,-0.8929345797094298,36.007654452878946,-2.204013384889688,33.42218496820297,36.007654452878946,1
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,71.45796,116.44,30.8454,10.804663959152096,,100.68732757568348,0.490693256342437,74.74028843304937,1.1600517540698227,76.58392773120781,74.74028843304937,0
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,99.5459874,131.201,12.52307,7.637956495573586,,102.07446410133234,0.3603718514029675,71.09213164855922,0.7857604795033359,71.78168311228445,71.09213164855922,0
BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified,91.0435,105.27778,20.8749,7.870392141071707,,77.361938436651,0.0406286392262718,62.1413889111027,0.1855321772299264,64.0806135694358,62.1413889111027,0
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,73.55998,110.9346,23.740879999999997,8.09587085813909,,85.89075622558593,0.0559302164066372,62.56973414441167,0.1717933942028522,63.90434176898109,62.56973414441167,0
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,84.68054,125.27939999999998,34.347159999999995,8.89109847683822,,100.41826159902834,0.5684022994095799,76.91563923450299,1.300797639308595,78.38973036661876,76.91563923450299,0
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Blend,63.851600000000005,66.47085999999999,8.445656,12.02289414628581,,87.23687939410885,-0.235645790460484,54.40749104903605,-0.2817268071588095,58.08557148350065,54.40749104903605,0
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,57.00792,100.37708,7.821878000000001,5.329511464329699,,89.43999783136925,-0.5433888953086405,45.7926737336969,-1.2109513826647498,46.16340278570468,45.7926737336969,1
BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,77.38142,100.73846,17.84476,8.085766969649848,94.21196967758311,105.1538864135744,0.1648398349832491,65.61849934220128,0.3535420225792045,66.2362191915257,65.61849934220128,0
BRB,Barbados,Latin America & Caribbean ,High income,IBRD,75.97918,113.1914,37.81616,6.868105639275967,,105.2827743530274,0.3537631194058597,70.9071298794076,0.8382463412231119,72.45508899732754,70.9071298794076,0
BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,96.58094,125.75039999999998,15.36212,9.441989976125816,,88.72111728387922,0.3580700502735504,71.02769609853787,0.8264688012817432,72.3039804044994,71.02769609853787,0
BTN,Bhutan,South Asia,Lower middle income,IDA,77.29148,96.03614,0.7959006000000001,6.456381879595096,,90.0939476946356,-0.4084254615965509,49.570777312180695,-0.8526884531153727,50.75999998819329,49.570777312180695,1
CAN,Canada,North America,High income,Not classified,93.358,88.6855,40.6955,10.565520712994742,,109.6517059326172,0.6810620104621377,80.06938277652502,1.7554038630796438,84.22243457368887,80.06938277652502,0
