type,score,indicator,corr
score_vs_indicator,DII_pca_0100,IT.NET.USER.ZS,0.9225410246682207
score_vs_indicator,DII_pca_0100,IT.CEL.SETS.P2,0.6022853249034845
score_vs_indicator,DII_pca_0100,IT.NET.BBND.P2,0.889517461883027
score_vs_indicator,DII_pca_0100,IT.NET.SECR.P6,0.9090056415850791
score_vs_indicator,DII_pca_0100,SE.ADT.LITR.ZS,0.8339654250002707
score_vs_indicator,DII_pca_0100,SE.SEC.ENRR,0.8813129692353043
score_vs_indicator,DII_equal_0100,IT.NET.USER.ZS,0.9188275966822905
score_vs_indicator,DII_equal_0100,IT.CEL.SETS.P2,0.6485299391507072
score_vs_indicator,DII_equal_0100,IT.NET.BBND.P2,0.8715345637880355
score_vs_indicator,DII_equal_0100,IT.NET.SECR.P6,0.8949262468917571
score_vs_indicator,DII_equal_0100,SE.ADT.LITR.ZS,0.8737373393714937
score_vs_indicator,DII_equal_0100,SE.SEC.ENRR,0.8736978300578366
score_vs_score,DII_pca_0100,DII_equal_0100,0.9963252615081198
