,deep_pillar_affordability,deep_pillar_skills,dii_deep_0_100,dii_core_0_100
deep_pillar_affordability,1.0,-0.4759665841064607,0.02287897233533437,-0.09331988730651168
deep_pillar_skills,-0.4759665841064607,1.0,0.7975105998908526,0.6022628289446054
dii_deep_0_100,0.02287897233533437,0.7975105998908526,1.0,0.41154924016827055
dii_core_0_100,-0.09331988730651168,0.6022628289446054,0.41154924016827055,1.0
