k,step_m,distance,jump
2,189,25.690869227713726,13.079490971888218
3,188,12.611378255825509,4.976043534358781
4,187,7.6353347214667275,1.8862494408380845
5,186,5.749085280628643,0.3017029826172859
6,185,5.447382298011357,0.848969739531741
7,184,4.598412558479616,0.08333723435869
8,183,4.515075324120926,0.7301256132017468
9,182,3.784949710919179,0.34876317452235384
10,181,3.4361865363968254,0.40942736714294004
