type,score,indicator,corr
score_vs_indicator,DII_equal_0100,IT.NET.USER.ZS,0.9188275966822905
score_vs_indicator,DII_equal_0100,IT.CEL.SETS.P2,0.6485299391507072
score_vs_indicator,DII_equal_0100,IT.NET.BBND.P2,0.8715345637880355
score_vs_indicator,DII_equal_0100,IT.NET.SECR.P6,0.8949262468917571
score_vs_indicator,DII_equal_0100,SE.ADT.LITR.ZS,0.8737373393714937
score_vs_indicator,DII_equal_0100,SE.SEC.ENRR,0.8736978300578366
score_vs_indicator,DII_pillar_0100,IT.NET.USER.ZS,0.9153481020570061
score_vs_indicator,DII_pillar_0100,IT.CEL.SETS.P2,0.6342724159290828
score_vs_indicator,DII_pillar_0100,IT.NET.BBND.P2,0.8719277495040436
score_vs_indicator,DII_pillar_0100,IT.NET.SECR.P6,0.8915517726962127
score_vs_indicator,DII_pillar_0100,SE.ADT.LITR.ZS,0.83534092022685
score_vs_indicator,DII_pillar_0100,SE.SEC.ENRR,0.892233213124794
score_vs_score,DII_equal_0100,DII_pillar_0100,0.9970956186536271
