year,n_rows,n_countries,missing_IT.NET.USER.ZS,missing_IT.CEL.SETS.P2,missing_IT.NET.BBND.P2,missing_IT.NET.SECR.P6,missing_SE.SEC.ENRR,missing_SE.TER.ENRR,share_has_pillar_access_adoption,share_has_pillar_infra_capacity,share_has_pillar_human_capital,share_has_dii_baseline,share_has_dii_strict,share_has_all_3_pillars,n_complete_6indicators
2015,215,215,0.06976744186046512,0.037209302325581395,0.06046511627906977,0.013953488372093023,0.27906976744186046,0.31627906976744186,0.9720930232558139,0.9906976744186047,0.7906976744186046,0.9767441860465116,0.7767441860465116,0.7767441860465116,127
2016,215,215,0.05581395348837209,0.06046511627906977,0.08837209302325581,0.004651162790697674,0.3209302325581395,0.37209302325581395,0.9627906976744186,1.0,0.7581395348837209,0.9674418604651163,0.7534883720930232,0.7534883720930232,115
2017,216,216,0.05092592592592592,0.06018518518518518,0.08796296296296297,0.009259259259259259,0.35185185185185186,0.37037037037037035,0.9675925925925926,0.9953703703703703,0.7314814814814815,0.9722222222222222,0.7222222222222222,0.7222222222222222,116
2018,216,216,0.18518518518518517,0.11574074074074074,0.1574074074074074,0.013888888888888888,0.35185185185185186,0.38425925925925924,0.9212962962962963,0.9861111111111112,0.7268518518518519,0.9398148148148148,0.6944444444444444,0.6944444444444444,109
2019,214,214,0.1308411214953271,0.028037383177570093,0.0514018691588785,0.009345794392523364,0.35046728971962615,0.3878504672897196,0.9719626168224299,0.9906542056074766,0.719626168224299,0.9719626168224299,0.7102803738317757,0.7102803738317757,113
2020,215,215,0.13488372093023257,0.037209302325581395,0.06511627906976744,0.004651162790697674,0.3302325581395349,0.386046511627907,0.9674418604651163,1.0,0.7534883720930232,0.9720930232558139,0.7488372093023256,0.7488372093023256,111
2021,215,215,0.15813953488372093,0.03255813953488372,0.05116279069767442,0.0,0.3116279069767442,0.4232558139534884,0.9674418604651163,1.0,0.7395348837209302,0.9720930232558139,0.7348837209302326,0.7348837209302326,110
2022,216,216,0.1574074074074074,0.032407407407407406,0.046296296296296294,0.004629629629629629,0.35648148148148145,0.4212962962962963,0.9675925925925926,0.9953703703703703,0.7037037037037037,0.9722222222222222,0.6944444444444444,0.6944444444444444,108
