indicator_code,pc1_loading,scope
IT.NET.USER.ZS,0.42068343529846086,global
IT.CEL.SETS.P2,0.28591042994121924,global
IT.NET.BBND.P2,0.4300951471245004,global
IT.NET.SECR.P6,0.41671210584345647,global
SE.ADT.LITR.ZS,0.1662494168970439,global
SE.SEC.ENRR,0.433408977748684,global
SE.TER.ENRR,0.40886140435117285,global
