country_iso3,year,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,SE.TER.ENRR,DII_equal,DII_equal_100
ABW,2010,1.004787222053194,0.9724246165030931,0.748272672065277,-0.2678331098245279,0.7279356525289046,0.5993193127629931,-0.03145312675984906,0.5362076056184407,46.96640361506113
AFG,2010,-1.1006632755982995,-1.1982889853010428,-0.8229073945034437,-0.4009202628655214,,-1.1947427484104098,,-0.9435045333357435,9.786718289561735
AGO,2010,-1.1442243203772957,-1.1017613712957466,-0.8180694628464723,-0.3997195471294545,,-2.0294344524102477,,-1.0986418308118435,5.888692619186139
ALB,2010,0.3876724210174114,0.06988313182717582,-0.5282947743615822,-0.3954313584182934,,0.42889069903810423,0.23136745800861047,0.032347929518571045,34.30627620754972
AND,2010,1.6945037643873038,-0.17500447779107187,1.6623751070207542,0.6866709350474434,,0.12125032853437102,,0.79795913143976,53.54324995382548
ARE,2010,1.222592445948176,1.5591887172678498,0.10513821673138182,-0.22862213411791704,,,,0.6645743114573728,50.19178347356225
ARG,2010,0.3876724210174114,1.1224388128880571,-0.024539140925076815,-0.36396436088755946,,0.631245046017721,1.333805258510806,0.5144430061035599,46.41953984345572
ARM,2010,-0.33834499196586215,0.9775371875704387,-0.5619211678441578,-0.38674861061519866,,0.9564655537943373,0.49385007410968157,0.19013967417487318,38.27099830371988
ASM,2010,,,,-0.3194068358606776,,,,-0.3194068358606776,25.46798182294829
ATG,2010,0.46027416231573876,2.4544112724291356,-0.14017971041827101,0.663314283303248,,1.2468772866411557,-0.732052094326443,0.6587741999907607,50.04604815552002
AUS,2010,1.5129994111414855,0.29004407550993155,1.214162382789775,1.722731366849482,,,,1.1849843090726684,63.26775915978974
AUT,2010,1.4828696885026798,1.3060823656271177,1.1835490189642695,0.6434978505973226,,0.6760390455724531,1.3785377653855133,1.1117626224415593,61.42796938157583
AZE,2010,0.4239732916665751,0.24164506940572486,-0.3978928158229205,-0.3978229322427563,0.9008942396721463,0.031009984190455604,-0.6392709480896173,0.023219412682801126,34.07691039070758
BDI,2010,-1.2095658875457904,-1.6123504354108589,-0.8230342405957322,-0.4010238134697956,,-2.196377715654343,-1.2254661883297264,-1.2446363801677078,2.22039034511985
BEL,2010,1.5725255788319839,0.5062035802373115,1.7019211212698022,0.20684039530435103,,2.9438249025675445,1.082546617797786,1.3356436993347967,67.05327160766117
BEN,2010,-1.1322450330630718,-0.37816896299216274,-0.8007497823698955,-0.4015152900847948,,,-0.8798969367075504,-0.7185152010434951,15.439866868941618
BFA,2010,-1.1587446686369614,-1.21723730980353,-0.8164049522752946,-0.4012953901146974,,-2.2935034873267517,-1.2148252928604533,-1.1836685168362815,3.752286930919685
BGD,2010,-1.1115535367930485,-1.004947453310679,-0.8010401958534181,-0.4013713615863214,,-1.2299446405796504,,-0.9097714376246234,10.634306040298725
BGR,2010,0.4323224919158826,1.0971713505463299,0.4147925146400758,-0.3072702275190371,,0.4476685705362804,0.774955425897529,0.4766066876695101,45.46885330367535
BHR,2010,0.7506811275090481,0.9158000516149785,0.22208143029642352,-0.28703008608567243,,0.29803931317475213,,0.379914367301906,43.039333432870805
BHS,2010,0.31507067971908403,0.629814187376694,-0.27296916745693744,0.1340709694445072,,0.33152096254004965,,0.22750152632467951,39.209763263159495
BIH,2010,0.3059954620567931,-0.1647952414330344,0.016368467976065632,-0.3841873955874554,,0.12236699153609276,0.05793091243687575,-0.007720133835777087,33.29951418411337
BLR,2010,-0.09149907155154911,0.4548733667211598,0.6144466673239338,-0.39400507679003155,,1.0802475322463363,1.562184332118892,0.5377079583447902,47.00410192189691
BLZ,2010,-0.2221822058885384,-0.6410710007979293,-0.5954149225211776,-0.07537557306623058,,-0.24921348091775616,-0.5558643522699495,-0.389853589243597,23.697915839147438
BMU,2010,1.811029559171119,1.1259608062900064,4.328824477722087,5.111747623187401,,0.27549105285410097,-0.013835857872026238,2.1065362768921143,86.422946761912
BOL,2010,-0.43272725565368775,-0.41689271238314357,-0.7461902015932123,-0.393043593587336,,0.20654336166135912,,-0.3564620803112041,24.536920779343045
BRA,2010,0.22976363369354935,0.291134757337632,-0.2273119430556143,-0.35844283261830934,0.350357728548898,,,0.05710026878123113,34.92821081268592
BRB,2010,1.117319921065601,0.8709230389127214,0.8481284049392704,-0.1100599199976588,,0.9545937538832993,1.1815715525005919,0.8104127918839709,53.856164313501964
BRN,2010,0.6780793862107208,0.5009773964795802,-0.3705053587498221,-0.339909619166681,,0.7041146118843483,-0.781323235616984,0.06523886350686038,35.132703553486515
BTN,2010,-0.752174917366328,-0.7419954259211428,-0.7221103633268074,-0.3995114540940593,,-0.7255835775936853,-1.098064292079019,-0.7399066717301737,14.902378442751868
BWA,2010,-1.028061534299972,0.6224066399635617,-0.7751048061979322,-0.3949660131563581,,,-0.6291476799629157,-0.44097467873072327,22.413432208451955
CAF,2010,-1.1732650168966268,-1.5237688929711217,,,,,-1.2441494556052042,-1.3137277884909844,0.48437916258636154
CAN,2010,1.6690931549328891,-0.3029982625255257,1.7665375072850165,1.5407995461518413,,0.7603834839883348,0.9026411935735965,1.0560761039010254,60.02877342872453
CHE,2010,1.7997762892698788,0.7812371811224377,2.224886456286249,1.793617489027023,,0.5387207216728639,0.574159655163654,1.285399632090351,65.79082429750936
CHL,2010,0.3876724210174114,0.6064781407715202,0.029353970791591497,-0.3320377338566043,,0.3281744569925641,1.0639759489652203,0.34726953411361716,42.21908968850184
