country_iso3,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,50.288982677729656,52.216733920091265,58.37505648757432,31.493397914435704,61.37480936610068,44.73931060168099,59.6983231411254,51.41280996124048,62.71197066283006,54.89102155636687,51.933388631818765,40.853376082629566,48.482432215655855,22.758687950573997
AFG,11.470327509117514,9.1823444648569,19.163034334144363,6.3389153473715005,26.87803079629022,4.745066551054031,18.390646161956603,13.316204764365484,12.221512987364486,22.334606604292862,0.0,1.5511437529025507,15.526222172522003,9.087546184113863
AGO,7.645048909154167,15.847914187113918,20.631377458024012,7.827603051141661,30.622126907561544,13.140493129118783,18.58756360062193,14.063694940000653,13.677144766638328,23.569636457336095,14.501394111525535,8.007058842906623,21.671396945149784,12.247024706868313
ALB,34.550828281462145,44.04339931828649,47.64234433806551,24.2362204476174,50.378512599797396,34.02338093519452,45.10102502687668,42.045345538664556,40.43229808444015,42.5545361746713,37.8445565284783,32.54428492889716,39.97625763109482,26.320105365730388
AND,54.41025103399223,59.79777241087865,59.84005295655804,32.354164410659926,62.728821899410804,48.468408723128945,63.608933576553554,53.40939083726369,57.583407113090814,58.97985769980251,53.69717811157192,46.440852714934586,53.90287582600705,35.300768212270945
ARE,51.121331439932696,58.04736406927814,62.66327188499741,37.345315966952754,69.09298586129576,52.743075771688844,68.95780788209791,65.43021840616798,72.81006386920733,62.61939666301225,61.81287191244935,51.25306153042216,56.5840758542392,35.75841242454134
ARG,43.37882291976339,50.54033985704657,52.79265274239957,29.799890098248692,57.76755216164241,41.39243287170825,55.65248599404238,47.2097989649593,53.21999175313141,50.873749651727586,50.01150974853105,42.12171231793006,48.06401297706571,29.95782239022653
ARM,37.92527815632506,43.18424348785722,39.1660523977671,20.843428485052236,48.70300970285371,32.47999710234154,48.579395281787754,41.83438072926833,41.62952502971725,42.862288170576896,43.061901714207536,34.086452765120114,43.17970579982163,27.57435574014741
ASM,26.858938792652054,32.038922264686924,32.21302251304666,15.099719299129527,44.41740280872854,24.43352809828351,34.265088783472045,30.98700247179938,33.65306722702496,35.479302759920614,31.399871419964665,27.6610305739643,35.80300932877672,22.682547375242795
ATG,57.83714115599056,62.02908502407944,57.931477003641774,29.393025671258354,59.563751505143934,48.389146799461855,59.62752847968032,52.816651633507014,55.34210429714387,52.864850211081084,51.501586950806264,41.716343784369506,48.73470068238351,28.161994104703048
