cluster,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean ,"Middle East, North Africa, Afghanistan & Pakistan",North America,South Asia,Sub-Saharan Africa 
0,0.175,0.325,0.25,0.175,0.0,0.025,0.05
1,0.0,0.0,0.0,0.125,0.0,0.0,0.875
2,0.1320754716981132,0.6792452830188679,0.05660377358490566,0.07547169811320754,0.03773584905660377,0.0,0.018867924528301886
3,0.15,0.05,0.2,0.15,0.0,0.25,0.2
