country_iso3,ITU_FIXED_BB_5GB,ITU_MB_DATAONLY_5GB,ITU_MB_HIGH_BASKET_5GB,ITU_MB_LOW_BASKET_1GB,ITU_SKILL_COMM_COLLAB,ITU_SKILL_CONTENT_CREATION,ITU_SKILL_DATA_LITERACY,ITU_SKILL_LEVEL__HHU781CC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781CC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF2_HHTotalIndividual,ITU_SKILL_PROBLEM_SOLVING,ITU_SKILL_SAFETY
CYP,-43.66,-10.52,-0.38,-10.52,57.24950666666667,21.2694,78.73923333333333,,,,,,,,,,,44.50666666666666,
CZE,-25.13,-11.12,-0.83,-19.25,45.27845333333334,30.4513025,74.4347,21.171,51.1126,16.6663,42.6085,5.96999,77.7005,8.24179,71.6975,,,54.6462,
DEU,-34.65,-10.51,-0.22,-10.51,48.33476666666667,21.53101,65.84133333333334,,,,,,,,,,,47.92793333333333,57.4912
DJI,-15.47,-16.88,-9.57,-22.51,,,,,,,,,,,,,,,
DMA,-40.74,-40.74,-4.68,-40.74,,,,,,,,,,,,,,,
DNK,-42.16,-16.78,-0.42,-11.14,61.01776666666667,36.503233333333334,86.55303333333332,,,,,,,,,,,64.8453,52.5069
DOM,-15.96,-14.43,-2.65,-10.83,52.399,15.057368,22.969733333333338,16.7892,62.5932,21.6914,17.5897,19.2695,21.6415,14.0087,20.4999,5.98098,7.82907,13.933858333333331,10.81958
DZA,-11.88,-2.23,-1.62,-7.42,,,,,,,,,,,,,,,
ECU,-24.73,-10.5,-2.18,-13.95,42.0378,11.246202,15.33275,,,,,,,,,,,10.872196666666667,
EGY,-4.74,-2.97,-1.92,-1.38,45.052485,18.145758333333333,35.161167500000005,,,,,,,,,,,34.98325166666667,60.6722
ERI,-0.0,,,,,,,,,,,,,,,,,,
ESP,-20.99,-10.52,-0.41,-11.57,51.931266666666666,40.853685,74.83523333333333,4.77368,90.1057,21.5458,52.283,9.24099,78.9878,21.7998,65.6417,17.1895,62.9351,59.17456666666667,75.9465
EST,-19.99,-7.36,-0.38,-4.21,57.0949,26.278125,72.1831,6.988,76.8781,0.0,49.7328,7.30423,76.5159,21.1233,62.287,,,53.143550000000005,
ETH,-5.52,-2.13,-4.79,-0.75,,,,,,,,,,,,,,,
