country_iso3,ITU_FIXED_BB_5GB,ITU_MB_DATAONLY_5GB,ITU_MB_HIGH_BASKET_5GB,ITU_MB_LOW_BASKET_1GB,ITU_SKILL_COMM_COLLAB,ITU_SKILL_CONTENT_CREATION,ITU_SKILL_DATA_LITERACY,ITU_SKILL_LEVEL__HHU781CC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781CC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF2_HHTotalIndividual,ITU_SKILL_PROBLEM_SOLVING,ITU_SKILL_SAFETY
GEO,2025,2025,2025,2025,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,,,2023,
GHA,2025,2025,2025,2025,,,,,,,,,,,,,,,
GIB,2025,2025,2025,2025,,,,,,,,,,,,,,,
GIN,2025,2025,2025,2025,,,,,,,,,,,,,,,
GMB,2022,2025,2025,2025,,,,,,,,,,,,,,,
GNB,2025,2025,2025,2025,,,,,,,,,,,,,,,
GNQ,2022,,,,,,,,,,,,,,,,,,
GRC,2025,2025,2025,2025,2024,2023,2024,2023,2023,2023,2023,2023,2023,2023,2023,,,2024,2023
GRD,2025,2025,2025,2025,,,,,,,,,,,,,,,
GRL,2025,2025,2025,2025,,,,,,,,,,,,,,,
GTM,2025,2025,2025,2025,,,,,,,,,,,,,,,
GUM,2025,2025,2025,2025,,,,,,,,,,,,,,,
GUY,2025,2025,2025,2025,,,,,,,,,,,,,,,
HKG,2025,2025,2025,2025,2023,2023,2023,,,2023,2023,,,2023,2023,2023,2023,2023,2023
HND,2025,2025,2025,2025,,,,,,,,,,,,,,,
HRV,2025,2025,2025,2025,2024,2023,2024,2024,2024,2023,2023,2024,2024,2024,2024,,,2024,2023
HTI,2025,2025,2025,2025,,,,,,,,,,,,,,,
HUN,2025,2025,2025,2025,2024,2024,2024,,,,,,,,,,,2024,
IDN,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,,,2024,
IND,2025,2025,2025,2025,2025,2025,,,,,,,,,,,,2025,
IRL,2025,2025,2025,2025,,,,,,,,,,,,,,,
IRN,2025,2025,2025,2025,2021,2021,2021,,,,,,,,,,,2021,2021
IRQ,2025,2025,2025,2025,2022,2022,2022,,,,,,,,,,,2022,2022
ISL,2025,2025,2025,2025,,2021,2021,,,,,,,,,,,2021,
ISR,2025,2025,2025,2025,2024,,2024,,,,,,,,,,,2024,
ITA,2025,2025,2025,2025,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,
JAM,2025,2025,2025,2025,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,,,2023,
JOR,2025,2025,2025,2025,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
JPN,2025,2025,2025,2025,2022,2022,2022,,,2022,2022,,,2022,2022,,,2022,
KAZ,2025,2025,2025,2025,2023,2023,2023,,,,,,,,,,,2023,2023
KEN,2025,2025,2025,2025,,,,,,,,,,,,,,,
KGZ,2025,2025,2025,2025,,,,,,,,,,,,,,,
KHM,2025,2025,2025,2025,,,,,,,,,,,,,,,
KIR,2022,2025,2025,2025,,,,,,,,,,,,,,,
KNA,2025,2025,2025,2025,,,,,,,,,,,,,,,
KOR,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
KWT,2025,2025,2025,2025,2023,2023,2023,,,,,,,,,,,2023,2023
LAO,2025,2025,2025,2025,,,,,,,,,,,,,,,
LBN,2025,2025,2025,2025,,,,,,,,,,,,,,,
LBR,2025,2025,2025,2025,,,,,,,,,,,,,,,
LBY,2025,2025,2025,2025,,,,,,,,,,,,,,,
LCA,2025,2025,2025,2025,,,,,,,,,,,,,,,
LIE,2025,2025,2025,2025,,,,,,,,,,,,,,,
LKA,2025,2025,2025,2025,,,,,,,,,,,,,,,
LSO,2025,2025,2025,2025,,,,,,,,,,,,,,,
LTU,2025,2025,2025,2025,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,,,2023,2023
LUX,2025,2025,2025,2025,2024,2023,2024,,,,,,,,,,,2024,
LVA,2025,2025,2025,2025,2024,2023,2024,2023,2023,2023,2023,2023,2023,2023,2023,,,2024,
MAC,2025,2025,2025,2025,2021,2021,2021,,,,,,,,,,,2021,2021
MAR,2025,2025,2025,2025,2021,2021,2021,,,,,,,,,,,2021,2021
MCO,2025,2025,2025,2025,,,,,,,,,,,,,,,
MDA,2025,2025,2025,2025,,,,,,,,,,,,,,,
MDG,2025,2025,2025,2025,,,,,,,,,,,,,,,
MDV,2025,2025,2025,2025,,,,,,,,,,,,,,,
MEX,2025,2025,2025,2025,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,,,2023,
MHL,2025,2025,2025,2025,,,,,,,,,,,,,,,
MKD,2025,2025,2025,2025,,,,,,,,,,,,,,,
MLI,2025,2025,2025,2025,,,,,,,,,,,,,,,
MLT,2025,2025,2025,2025,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,
MMR,2025,2025,2025,2025,,,,,,,,,,,,,,,
MNE,2025,2025,2025,2025,2024,2024,2024,,,,,,,,,,,2024,
MNG,2025,2025,2025,2025,2021,2021,2021,,,,,,,,,,,2021,2021
MNP,2025,2025,2025,2025,,,,,,,,,,,,,,,
MOZ,2025,2025,2025,2025,,,,,,,,,,,,,,,
MRT,2025,2025,2025,2025,,,,,,,,,,,,,,,
MUS,2025,2025,2025,2025,,,,,,,,,,,,,,,
MWI,2025,2025,2025,2025,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
MYS,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
NAM,2025,2025,2025,2025,,,,,,,,,,,,,,,
NCL,2022,2025,2025,2025,,,,,,,,,,,,,,,
NER,2025,2025,2025,2025,2022,2022,,,,,,,,,,,,2022,
