country_iso3,rank_baseline,rank_alt,delta_rank,indicator_removed
SOM,195.0,197.0,2.0,SE.TER.ENRR
SRB,67.0,64.0,-3.0,SE.TER.ENRR
SSD,205.0,204.0,-1.0,SE.TER.ENRR
STP,153.0,153.0,0.0,SE.TER.ENRR
SUR,104.0,93.0,-11.0,SE.TER.ENRR
SVK,57.0,39.0,-18.0,SE.TER.ENRR
SVN,30.0,42.0,12.0,SE.TER.ENRR
SWE,8.0,16.0,8.0,SE.TER.ENRR
SWZ,144.0,145.0,1.0,SE.TER.ENRR
SXM,,,,SE.TER.ENRR
SYC,61.0,35.0,-26.0,SE.TER.ENRR
SYR,165.0,165.0,0.0,SE.TER.ENRR
TCA,,,,SE.TER.ENRR
TCD,201.0,201.0,0.0,SE.TER.ENRR
TGO,177.0,180.0,3.0,SE.TER.ENRR
THA,82.0,74.0,-8.0,SE.TER.ENRR
TJK,146.0,148.0,2.0,SE.TER.ENRR
TKM,155.0,166.0,11.0,SE.TER.ENRR
TLS,148.0,149.0,1.0,SE.TER.ENRR
TON,139.0,141.0,2.0,SE.TER.ENRR
TTO,70.0,75.0,5.0,SE.TER.ENRR
TUN,107.0,108.0,1.0,SE.TER.ENRR
TUR,51.0,92.0,41.0,SE.TER.ENRR
TUV,114.0,115.0,1.0,SE.TER.ENRR
TZA,190.0,175.0,-15.0,SE.TER.ENRR
UGA,189.0,190.0,1.0,SE.TER.ENRR
UKR,72.0,81.0,9.0,SE.TER.ENRR
URY,45.0,53.0,8.0,SE.TER.ENRR
USA,28.0,28.0,0.0,SE.TER.ENRR
UZB,124.0,120.0,-4.0,SE.TER.ENRR
VCT,103.0,106.0,3.0,SE.TER.ENRR
VEN,131.0,130.0,-1.0,SE.TER.ENRR
VGB,75.0,48.0,-27.0,SE.TER.ENRR
VIR,,,,SE.TER.ENRR
VNM,92.0,87.0,-5.0,SE.TER.ENRR
VUT,143.0,144.0,1.0,SE.TER.ENRR
WSM,154.0,154.0,0.0,SE.TER.ENRR
XKX,,,,SE.TER.ENRR
YEM,193.0,192.0,-1.0,SE.TER.ENRR
ZAF,93.0,82.0,-11.0,SE.TER.ENRR
ZMB,168.0,170.0,2.0,SE.TER.ENRR
ZWE,161.0,158.0,-3.0,SE.TER.ENRR
